date,AAPL,AMZN,BABA,FB,GOOG,GOOGL,NFLX
2013-04-30,0.000271,-0.047581,,0.085575,0.038255000000000004,,0.141536
2013-05-31,0.022596,0.060636,,-0.123195,0.056573000000000005,,0.047113999999999996
2013-06-28,-0.11830299999999999,0.031538,,0.02185,0.010505,,-0.067006
2013-07-31,0.141225,0.084735,,0.4791,0.008383,,0.158198
2013-08-30,0.083389,-0.06719299999999999,,0.12212,-0.046015,,0.161262
2013-09-30,-0.021481,0.112677,,0.2164,0.034254,,0.089113
2013-10-31,0.096386,0.164374,,-0.0004980000000000001,0.176582,,0.042916
2013-11-29,0.069673,0.081285,,-0.063639,0.028149,,0.13433399999999998
2013-12-31,0.008902,0.013134999999999999,,0.162497,0.057683000000000005,,0.006479
2014-01-31,-0.107697,-0.10055399999999999,,0.14494300000000002,0.053769000000000004,,0.111796
2014-02-28,0.057311,0.009507,,0.094135,0.029366000000000003,,0.08868200000000001
2014-03-31,0.019953,-0.071072,,-0.12007000000000001,-0.08319800000000001,,-0.21004
2014-04-30,0.099396,-0.095833,,-0.0076359999999999996,,-0.041639999999999996,-0.08519199999999999
2014-05-30,0.078293,0.027685,,0.058883000000000005,0.063096,0.068744,0.29744699999999996
2014-06-30,0.027662,0.03913,,0.063033,0.027488,0.022775999999999998,0.054496
2014-07-31,0.028731,-0.036302,,0.07965499999999999,-0.006397,-0.008757,-0.040581
2014-08-29,0.077092,0.08323,,0.029869,0.0,0.004849,0.129921
2014-09-30,-0.017072999999999998,-0.048962,,0.056402,0.010077,0.010389,-0.055397
2014-10-31,0.07196,-0.052661,0.10973599999999999,-0.05124,-0.031661,-0.034908,-0.129461
2014-11-28,0.105556,0.108623,0.132252,0.036137999999999997,-0.030854000000000003,-0.033089,-0.117575
2014-12-31,-0.071891,-0.08354,-0.068972,0.004118,-0.028477999999999996,-0.033547,-0.014369
2015-01-30,0.061424,0.142355,-0.142967,-0.027044,0.015425999999999999,0.012984,0.293288
2015-02-27,0.100461,0.072293,-0.044454,0.040311,0.044676,0.046656,0.074943
2015-03-31,-0.031372000000000004,-0.021202000000000002,-0.022087,0.041091,-0.018625,-0.014094999999999998,-0.122592
2015-04-30,0.005786,0.133512,-0.023426,-0.041901999999999995,-0.01676,-0.01069,0.335525
2015-05-29,0.045146,0.017662999999999998,0.09878200000000001,0.005332,-0.009733,-0.006287,0.121402
2015-06-30,-0.037266,0.011323,-0.07893,0.08302799999999999,-0.0218,-0.009682,0.052687
2015-07-31,-0.032888,0.23511300000000002,-0.04777,0.096135,0.201917,0.217502,0.21802600000000003
2015-08-31,-0.066117,-0.043383,-0.155987,-0.048718,-0.011764,-0.014722,0.006299
2015-09-30,-0.021816,-0.00195,-0.10813699999999998,0.005256,-0.0159,-0.014587000000000001,-0.10232100000000001
2015-10-30,0.083409,0.22272399999999998,0.42157,0.13426,0.16828800000000002,0.155114,0.049583999999999996
2015-11-30,-0.00569,0.06215,0.002982,0.022261000000000003,0.044724,0.034526999999999995,0.137941
2015-12-31,-0.11022799999999999,0.016682,-0.033421,0.004029,0.021922999999999998,0.019873,-0.07257000000000001
2016-01-29,-0.07524199999999999,-0.13151600000000002,-0.175218,0.072138,-0.020991,-0.021414,-0.197062
2016-02-29,-0.001335,-0.058739,0.026555000000000002,-0.047144,-0.060812,-0.057963,0.017095
2016-03-31,0.127211,0.074423,0.148525,0.06715299999999999,0.067615,0.06369,0.094422
2016-04-29,-0.139921,0.11109400000000001,-0.026445999999999997,0.0305,-0.06972300000000001,-0.07212,-0.11933900000000001
2016-05-31,0.071368,0.095817,0.06576599999999999,0.010461,0.06163,0.057877,0.139287
2016-06-30,-0.042660000000000003,-0.00992,-0.030122000000000003,-0.038127999999999995,-0.059289,-0.060519,-0.10812100000000001
2016-07-29,0.090063,0.060353,0.037093,0.08452899999999999,0.11080799999999999,0.12481300000000001,-0.002514
2016-08-31,0.023606,0.013640000000000001,0.178346,0.017588999999999997,-0.002263,-0.001883,0.067945
2016-09-30,0.06550399999999999,0.088603,0.088486,0.017047,0.01335,0.017991,0.011288
2016-10-31,0.004334,-0.056717,-0.038756,0.021205,0.009327,0.0072629999999999995,0.267073
2016-11-30,-0.021578,-0.049694999999999996,-0.075425,-0.095962,-0.033777999999999996,-0.042005,-0.063026
2016-12-30,0.047955000000000005,-0.000933,-0.06605,-0.028457999999999997,0.018179,0.021356,0.058120000000000005
2017-01-31,0.047746,0.098164,0.15374100000000002,0.132725,0.032352,0.035005,0.13659100000000002
2017-02-28,0.133581,0.026182,0.015694,0.040055,0.033158,0.030164,0.010092
2017-03-31,0.04869,0.04911,0.047911,0.04803,0.007714,0.003397,0.039963
2017-04-28,-7e-05,0.043371,0.07113,0.057726,0.092097,0.09049299999999999,0.0297
2017-05-31,0.067804,0.075276,0.06026,0.008053,0.065014,0.067678,0.07141900000000001
2017-06-30,-0.057214,-0.026764,0.15058,-0.003169,-0.058174000000000003,-0.058161000000000004,-0.083768
2017-07-31,0.032704000000000004,0.020434,0.099716,0.12100899999999999,0.023957,0.017016999999999997,0.21584899999999999
2017-08-31,0.106905,-0.007268999999999999,0.108358,0.016071000000000002,0.00949,0.010301000000000001,-0.038258
2017-09-29,-0.060244000000000006,-0.019631,0.005647999999999999,-0.006396,0.021058,0.019346000000000002,0.038006
2017-10-31,0.096808,0.14971700000000002,0.070523,0.053784000000000005,0.059983,0.060921,0.08315399999999999
2017-11-30,0.02035,0.064662,-0.042241,-0.015995,0.004692,0.00303,-0.045054000000000004
2017-12-29,-0.015246000000000001,-0.006187,-0.026258999999999998,-0.004064,0.024465999999999998,0.016628999999999998,0.02335
2018-01-31,-0.010636,0.240639,0.184771,0.05910700000000001,0.11806199999999999,0.12229000000000001,0.40810599999999997
2018-02-28,0.06761,0.042429,-0.088844,-0.045856,-0.055738,-0.066231,0.077987
2018-03-29,-0.058051,-0.043049000000000004,-0.013968000000000001,-0.103914,-0.066025,-0.060494000000000006,0.013625
2018-04-30,-0.015019999999999999,0.082075,-0.027242000000000002,0.076413,-0.014015000000000001,-0.017894999999999998,0.057930999999999996
2018-05-31,0.135181,0.040539,0.109051,0.115,0.06650700000000001,0.079935,0.12526400000000001
2018-06-29,-0.009418000000000001,0.043065,-0.063027,0.013244,0.028258,0.026536,0.113282
2018-07-31,0.027982999999999997,0.045676,0.009163,-0.111877,0.09107699999999999,0.086814,-0.137905
2018-08-31,0.20006300000000002,0.132365,-0.06526699999999999,0.018252,0.0007639999999999999,0.003732,0.089584
2018-09-28,-0.008303,-0.004824,-0.058567999999999995,-0.06413200000000001,-0.020291999999999998,-0.020068,0.017542
2018-10-31,-0.030477999999999998,-0.202192,-0.136441,-0.07704,-0.09778200000000001,-0.096514,-0.193382
2018-11-30,-0.18070899999999998,0.057672,0.130588,-0.073654,0.016401,0.017486,-0.051859
2018-12-31,-0.116698,-0.11135,-0.147893,-0.067705,-0.053745,-0.058298,-0.064551
2019-01-31,0.055153999999999995,0.144317,0.229226,0.271569,0.07798300000000001,0.077448,0.2684
2019-02-28,0.044701,-0.045906,0.086296,-0.031436,0.00318,0.000586,0.054786
2019-03-29,0.097026,0.085936,-0.003169,0.032456,0.047673,0.044685,-0.0043
2019-04-30,0.056436,0.081859,0.017100999999999998,0.16023800000000002,0.012929,0.018753,0.039208
2019-05-31,-0.123735,-0.078613,-0.195667,-0.082368,-0.071394,-0.07711699999999999,-0.073568
2019-06-28,0.130519,0.06679199999999999,0.135267,0.087508,-0.020587,-0.021419,0.07003
2019-07-31,0.076394,-0.014178999999999999,0.021599,0.006372999999999999,0.125607,0.125046,-0.12068499999999999
2019-08-30,-0.016569999999999998,-0.048474,0.011091,-0.044071,-0.02349,-0.022713999999999998,-0.090529
2019-09-30,0.072962,-0.022733,-0.044564,-0.040879,0.026008,0.025711,-0.08895299999999999
2019-10-31,0.11068399999999999,0.023475,0.056449,0.07620199999999999,0.033724000000000004,0.03084,0.073948
2019-11-29,0.077424,0.013587,0.132054,0.052126,0.035592,0.035979000000000004,0.09481200000000001
2019-12-31,0.098784,0.026122000000000003,0.0605,0.017903,0.024568,0.027069,0.028316
2020-01-31,0.05401,0.087064,-0.025977999999999998,-0.016273,0.07270599999999999,0.069726,0.066508
2020-02-28,-0.11431,-0.062214,0.006825,-0.046754000000000004,-0.06616799999999999,-0.06527899999999999,0.069373
