gvkey,datadate,fyear,tic,revt,sic
002411,20190331,2018,BTY10,30550.6560,4813
002435,20190430,2018,BF.B,3324.0000,2085
002436,20190131,2018,CAL,2834.8460,3140
002444,20191231,2019,BC,4108.4000,3510
002448,20191231,2019,MTRN,1185.4240,3330
002490,20191231,2019,BRK3,23515.0000,4011
002497,20191231,2019,MTZ,7183.1880,1623
002504,20191231,2019,UIS,2931.2000,7373
002519,20190430,2018,BUKS,58.7100,8741
002526,20190331,2018,CAE,3304.1000,3690
002536,20190331,2018,RAMP,285.6200,7370
002547,20191231,2019,CI,153796.0000,6324
002547,20191231,2019,CI,153699.0000,6324
002556,20190331,2018,CSS,382.2630,2670
002558,20191231,2019,CNA,10587.0000,6331
002558,20191231,2019,CNA,10830.0000,6331
002573,20190930,2019,CSPI,79.0610,7373
002574,20191231,2019,CSX,11937.0000,4011
002577,20191231,2019,CTS,468.9990,3670
002578,20191231,2019,TLS,159.2180,7373
002581,20191231,2019,CVV,19.6470,3559
002593,20190930,2019,CBT,3337.0000,2890
002596,20190630,2019,CACI,4986.3410,7373
002615,20190228,2018,CAMP,363.8000,3663
002620,20191231,2019,0176A,8254.0000,6020
002620,20191231,2019,0176A,8254.0000,6020
002628,20191231,2019,CWT,714.5570,4941
002663,20190731,2019,CPB,8107.0000,2030
002675,20191231,2019,MLFNF,3941.5450,2000
002696,20191231,2019,CNI,14917.0000,4011
002698,20191231,2019,CP,7792.0000,4011
002703,20191231,2019,CDNAF,14534.4000,5531
002710,20190228,2018,STZ,8116.0000,2082
002721,20191231,2019,CAJ,33063.6330,3577
002735,20191231,2019,CPTP,5.1130,6519
002751,20190630,2019,CAH,145534.0000,5122
002771,20191231,2019,CSL,4811.6000,2950
002777,20191231,2019,ASWRF,0.0000,1040
002783,20191231,2019,DUK8,11202.0000,4911
002787,20190630,2019,CRS,2380.2000,3312
002807,20190430,2018,CASY,8364.9100,5412
002811,20191231,2019,CTAM,559.5910,5051
002817,20191231,2019,CAT,53800.0000,3531
002818,20190131,2018,CATO,829.6640,5621
002820,20190331,2018,CVCO,962.7460,2452
002829,20191031,2019,RFIL,55.3250,3678
002849,20191231,2019,BBVA1,4694.3850,6020
002849,20191231,2019,BBVA1,4694.3850,6020
002884,20191231,2019,LUMN,22401.0000,4813
002940,20191231,2019,MGLN,7159.4230,8741
002942,20190731,2019,CMD,918.1550,3845
002960,20191231,2019,CHE,1938.5550,8082
002968,20191231,2019,JPM,142422.0000,6020
002968,20191231,2019,JPM,142422.0000,6020
002986,20191231,2019,CPK,479.6040,4923
002990,20191231,2019,CLSN,0.5000,2836
002991,20191231,2019,CVX,139865.0000,2911
002999,20191231,2019,CVR,32.8730,3452
003007,20190630,2019,EAT,3217.9000,5812
003026,20191231,2019,CHD,4357.7000,2840
003028,20191231,2019,CHDN,1329.7000,7990
003036,20191231,2019,CBB,1536.7000,4813
003039,20191231,2019,CIN1,1940.0000,4931
003062,20190531,2018,CTAS,6892.3030,7200
003105,20191231,2019,IHRT,3683.5270,4832
003107,20191231,2019,CLF,1989.9000,1000
003121,20190630,2019,CLX,6214.0000,2842
003138,20191231,2019,COKE,4826.5490,2086
003144,20191231,2019,KO,37266.0000,2086
003153,20191231,2019,CDE,711.5020,1040
003157,20190930,2019,COHR,1430.6400,3826
003158,20191231,2019,COHU,583.3290,3825
003170,20191231,2019,CL,15693.0000,2844
003184,20191231,2019,CCOM,113.7010,5070
003198,20191231,2019,CGP1,371.0000,4923
003203,20190831,2019,CCF,281.3510,2891
003221,20191231,2019,AON,11013.0000,6411
003221,20191231,2019,AON,11013.0000,6411
003226,20191231,2019,CMCSA,108942.0000,4841
003231,20191231,2019,CMA,3817.0000,6020
003231,20191231,2019,CMA,3773.0000,6020
003238,20191231,2019,CBSH,1439.1140,6020
003238,20191231,2019,CBSH,1439.1140,6020
003243,20191231,2019,C,103449.0000,6199
003243,20191231,2019,C,103449.0000,6199
003246,20190831,2019,CMC,5829.0020,3312
003275,20191231,2019,JCS,50.9060,3661
003278,20191231,2019,CAR,9172.0000,7510
003336,20190331,2018,DXC,20753.0000,7370
003342,20191231,2019,CTG,394.1700,7370
003358,20190731,2019,CMTL,671.7970,3663
003362,20190531,2018,CAG,9538.4000,2000
003369,20190630,2019,RAVE,12.3190,6794
003382,20191231,2019,SSTK,650.5230,7370
003392,20191231,2019,NU1,3232.5510,4911
003410,20191231,2019,TCI,80.5120,6513
003410,20191231,2019,TCI,64.8190,6513
003413,20191231,2019,ED,12574.0000,4931
003424,20191231,2019,BH,668.8380,5812
003429,20191231,2019,CTO,67.2630,6510
003429,20191231,2019,CTO,44.9410,6510
003439,20191231,2019,CMS,6845.0000,4931
003465,20191231,2019,CUO,113.2760,3585
003469,20191231,2019,CLR,4631.9470,1311
003502,20191231,2019,CTB,2752.6390,3011
003504,20191031,2019,COO,2653.4000,3851
003505,20191231,2019,TAP,10579.4000,2082
003516,20190630,2019,CBYDF,149.9380,2085
003532,20191231,2019,GLW,11503.0000,3679
003533,20190930,2019,CNIG,35.5400,4923
003562,20191231,2019,CUZ,670.1810,6798
003562,20191231,2019,CUZ,668.7340,6798
003570,20190731,2019,CBRL,3071.9510,5812
003580,20191231,2019,CR,3283.1000,3490
003581,20191231,2019,CRD.A,1047.6270,6411
003591,20191231,2019,AGC1,4791.0000,6141
003592,20191231,2019,OMF,4784.0000,6141
003619,20191231,2019,CCK,11665.0000,3411
003622,20190331,2018,CRWS,76.3810,2211
003639,20190930,2019,CUB,1496.4750,3578
003643,20191231,2019,CFR,1490.9870,6020
003643,20191231,2019,CFR,1490.9870,6020
003647,20190430,2018,CULP,296.6690,2211
003650,20191231,2019,CMI,23571.0000,3510
003662,20191231,2019,CW,2487.9610,3728
003691,20191231,2019,GTBP,0.0000,2834
003708,20191231,2019,WEN,1709.0020,5812
003734,20191231,2019,DAN,8620.0000,3714
003735,20191231,2019,DHR,17911.1000,3826
003761,20191231,2019,DAIO,21.5680,3825
003801,20191231,2019,7183B,1143.7200,0700
003806,20191231,2019,DWSN,145.7730,1382
003813,20190131,2018,TGT,75356.0000,5331
003814,20191231,2019,AES5,763.3000,4911
003835,20191031,2019,DE,39258.0000,3523
003836,20191031,2019,DE1,2890.3000,6153
003851,20191231,2019,DAL,47007.0000,4512
003863,20191231,2019,DLX,2008.7150,2780
003897,20191231,2019,DTE,12669.0000,4931
003905,20190630,2019,ATGE,1239.6870,8200
003908,20190630,2019,DEWY,5.6890,3621
003937,20190331,2018,PYYX,1801.5930,5190
003946,20191231,2019,DBD,4408.7000,3578
003962,20191231,2019,NSYS,116.3330,3679
003964,20190131,2018,DDS,6503.3490,5311
003969,20191231,2019,DIOD,1249.1300,3674
003980,20190930,2019,DIS,69570.0000,4888
